song_na+B2+A1:B24,artist_name
Sweater Weather,The Neighbourhood
HOMESICK,Mico
Harukamirai,Kankaku Pierrot
?,Aaron Kwok
Alright,Kendrick Lamar
Skeletons,Travis Scott
The Hills,The Weeknd
Infinite Jest,Will Pacquin
Deja Vu,Olivia Rodrigo
Supercut,Lorde
Get Free,Lana Del Rey
Lauren,Men I Trust
Where Have You Been,Rihanna
MASSIVE,Drake
Poster Boy,Lyn Lapid
Ma Meilleure Ennemie,Stromae
Nude,Radiohead
From The Start,Laufey
Someone Like You,Adele
What Lovers Do,Maroon 5
Billie Jean,Michael Jackson
Faded,Alan Walker
Ode to the Mets,The Strokes
